NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
ELDOXINE TABLETS|SULPHADOXINE 500MG PYRIMETHAMINE 25MG|SHREECHEM PHARM PVT LTD R-915 TTC INDUSTRIAL AREA,RABALE,NAVI MUMBAI 400701 INIDIA|04-6184
GEOPRED-1 TABLETS|PREDNISOLONE 1MG|VARDMAN EXPORTS GHATKOPAR (W) A 188 TTC,MIDC IND. AREA KHAIRANE NAVI  MUMBAI,INDIA|04-6158
GEOTRIM DS TABLETS|SULPHAMETHOXAZOLE 800MG TRIMETHOPRIM 160MG|VARDMAN EXPORTS GHATKOPAR (W) A 188 TTC,MIDC IND AREA KHAIRANE NAVI MUMBAI,INDIA|04-6182
GINEX INJECTION|ANALGIN  2.5MG/5ML|GREENFIELD PHARM (TAIZHOU) CO LTD 38,TAI JIU RD TAI JIU RD TAI ZHOU JIANGSU PROVINCE CHINA|04-6176
GREAT AMOUR ANALGIN INJECTION|ANALGIN 2.5G/5ML|SHIJIAZHUANG NO 2 PHARM FACTORY 188,GONGNONG RD,SHIJIAZHUANG CHINA|04-6163
JERFEN FORTE TABLETS|IBUPROFEN 400MG|VARDHAM EXPORTS GHATKOPAR (W),A-188 MIDC,KHAIRANE NAVI MUMBAI 400701 INDIA|04-6169
KAKA FORTE TABLETS|PARACETAMOL 500MG CAFFEINE 30MG|MEDREL PHARM (INDIA)PVT LTD,3325,GIDC. SRIGAM DIST.VALSAD,GUJURAT 396155 INDIA|04-6166
LABCIN 500 TABLETS|FLUCONAZOLE 50MG|LABORATE  PHARM (INDIA) E-11 IND AREA PANIPAT INDIA|04-6174
LINOCILLIN CAPSULES|AMPICILLIN 250MG|FYTOKEM PHARMACEUTICAL LTD D NO 1-174/B ENIKEPADU VIJAY AWADA 521108 ANDHRA PRADESH INDIA|04-6192
LINOCLOX CAPSULES|AMPICILLIN 250MG CLOXACILLIN 250MG|FYTOKEM PHARMACEUTICAL LTD D NO 1-174/B ENIKEPADU VIJAY AWADA 521108 ANDHRA PRADESH INDIA|04-6193
LINOMOX  CAPSULES|AMOXYCILLIN 500MG|FYTOKEM PHARMACEUTICAL LTD D NO 1-174/B ENIKEPADU VIJAY AWADA 521108 ANDHRA PRADESH INDIA|04-6194
MEXAZOL 960 TABLETS|SULPHAMETHOXAZOLE 800MG TRIMETHOPRIM 160MG|MISSION PHARMACEUTICALS LTD1ST FLOOR CHOTANI ESTATE,GRANT RD (E),MUMBAI 400 007 INDIA|04-6011
MILPROXENE TABLETS|NAPROXENE 500MG|MILAN LABS (INDIA) PLOT 63/67 JCIE LTD KAMOTHE,PANVEL NAVI MUMBAI INDIA|04-6179
OFLA-OD TABLETS|OFLOXACIN 400MG|KHANDERELWAL LAB PVT LTD,277/316,DEMNI RD,DADRA U.T 39191,INDIA|04-6181
ORCHIFEN 400 TABLETS|IBUPROFEN 400MG|MAAN PHARM LTD PLOT NO1 GIDC PHASE-2 MODHERA  RD MESHANA 384 002 INDIA|04-6167
PRONIL TABLETS|PROGUANIL 100MG  (POM)|VARDMAN EXPORTS GHATKOPAR (W) A 188 TTC,MIDC IND. AREA KHAIRANA  NAVI MUMBAI|04-6159
SANARTEME TABLETS|ARTEMETHER 100MG|ZHONGNUO PHARM CO LTD 6,HUAXING RD ZHONGHUA SOUTH STREET SHIJIAZHUANG,CHINA|04-6199
SHEGMENT TABLETS|CIMETIDINE 200MG|SHREECHEM PHARMS PVT LTD PLOT R 914/915,TTC INDL AREA,RABALE,NAVI MUMBAI,INDIA|04-6172
SHEGMENT TABLETS|CIMETIDINE 400MG|SHREECHEM PHARMS PVT LTD PLOT R 914/915,TTC INDL AREA,RABALE,NAVI MUMBAI,INDIA|04-6171
SURFLOX TABLETS|NORFLOXACIN 400MG|MEDREICH STERILAB LTD AVALAHALLI BANGALORE 560 062|04-6161
SYMAFEN 200 TABLETS|IBUPROFEN 200MG|VARDMAN EXPORTS GHATKOPAR (W) A- 188 TTC,MIDC IND. AREA KHAIRANE NAVI MUMBAI,INDIA|04-6157
SYMEDINE TABLETS|CIMETIDINE 200MG|VARDHAM EXPORTS GHATKOPAR (W) A-188  MIDC,KHAIRANE NAVI MUMBAI 400701 INDIA|04-6187
SYMEDINE TABLETS|CIMETIDINE 400MG|VARDHAM EXPORTS GHATKOPAR (W) A-188  MIDC,KHAIRANE NAVI MUMBAI 400701 INDIA|04-6188
TRANSGLOBE DOXYCYCLINE CAPSULES|DOXYCYCLINE 100MG|YANGZHOU NO 3 PHARMACEUTICAL CO LTD NO 51 GUOTAI RD,YILLING TOWN,JIANGDU CITY JIANGSU CHINA|04-6160
TRANSGLOBE LINCOMYCIN 500|LINCOMYCIN 500MG|WUHAN GRAND PHARMACEUTICAL  GROUP CO LTD NO 5 GUTTIAN RD. WUHAN CHINA|04-6186
ULCEMET TABLETS|CIMETIDINE 200MG|SIZA INT PVT LTD 18 KM FEROZEUR RD LAHORE PAKISTAN|04-6173
WORMRAX SUSPENSION|PYRANTEL PAMOATE 250MG/5ML|MEDREL PHARM (INDIA)PVT LTD 54B DRUG HOUSE PROCTER  RD MUMBAI 400 007 INDIA|04-6170
ZITHROMAX IV POWDER INJECTION|AZITHROMYCIN 500MG|BEN VENUE LABORATORIES INC.BEDFORD,044460568 NV USA|04-6155
CSC GENTAMICIN EYE/EAR DROPS|GENTAMYCIN 0.3 % W/V|SHREECHEM PHARMS PVT LTD PLOT R-914/915,TTC INDL AREA,RABALE,NAVI MUMBAI,INDIA|04-6190
JERIDINE CAPSULES|PIROXICAM 20MG|VARDMAN EXPORTS GHATKOPAR (W) A 188 TTC,MIDC IND. AREA KHAIRANA  NAVI MUMBAI|04-6164
ORICAM CAPSULES|PIROXICAM 20MG|MAAN PHARMACEUTICALS LTD PLOT NO 1,G.I.D.C PHASE-2 MODHERA RD.,MESHANA-384 002 (GUJARAT) INDIA|04-6156
PAINDEX TABLETS|PARACETAMOL 500MG (OTC)|VARDMAN EXPORTS GHATKOPAR (W) A 188 TTC,MIDC IND. AREA KHAIRANA  NAVI MUMBAI|04-6165
RICHYGOLD GENTAMICIN EYE/EAR DROPS|GENTAMICINE 0.3% W/V|ALPHA LABORATORIES LTD 33/2 A.B. RD. PIGDAMBAR 453 446 DIST INDORE (INDIA)|04-6196
STAVUDINE,LAMIVUDINE & NEVIRAPINE TABLETS|STAVUDINE 40MG LAMIVUDINE 150MG NEVRAPINE 200MG|STRIDES ARCOLAB LTD,S-NO 36/7,SURAGAJAKKANAHALLI,IDIAVADI CROSS ANEKAL TALUK,SINGAPORE 562 106,INDIA|04-6200
LARIMAL TABLETS (OTC)|ARTESUNATE 50MG AMODIAQUINE 150MG|IPCA LAB LTD,48 KANDILI INDL EST (W) MUMBAI 400067 INDIA|04-6154
MEPHAGE TABLETS  (POM)|METFORMIN 500MG|NAXPAR LAB PVTLTD PLOT 120 GOVT IND ESTATE MASAT DABIA NAEGAR INDIA|04-6198
IBUHEAL CAPSULES (POM)|IBUPROFEN 400MG|MAXHEAL LAB PVT LTD. PLOT NO 2-7/80-85 SURSEZ SACHIN, SURAT, INDIA.
OLD SITE
MAXHEAL PHARM 103, TULSI NIWAS, MUMBAI, INDIA.|04-6175
CIMEBIOS 200 TABLETS|CIMETIDINE USP 200MG|JIANGSU RUINIAN QUIANJIN PHARMACEUTICAL CO.LTD, CHUANBU, YIXING ECONOMY DEVELOPMENT, ZONE, JIANGSU, CHINA. 
OLD SITE
JIANGXI XIER KANGTAI PHARM CO., LTD NORTH ZONE HIGHB NEW TECH. CHINA.|04-6178
AYELOTAN PILE & WORM MIXTURE|ALLIUM SATIVUM,SACHAVUM OFFICE,ZINGIBER,NARUM CESARAS IBERIANA,PIPER QUINEENSE|SAME AS APPLICANT|04-6225L
DAKTARIN CREAM|MICONAZOLE NITRATE 20MG|JANSEEN PHARMACEUTICAL N.V TURNHOUSE WEG 30-B-2340 BEERSE BELGIUM|04-1589 (RENEWAL)
EMI BLOOD TONIC|MAGNIFERA INDICA(LEAF),MAGNIFERA INDICA(BARK),LAWSONIA INERMIS,SORGHUM EXTRACT,PETROSELUM SATIVUM,IRON,VITS|SAME AS APPLICANT|04-6219L
EMIOLA TYCER SUSPENSION|ERYTHROPHLACUM GUINEANSE,TERMINALIA TOGOENSIS,GUINEANESS PALMITA|SAME AS APPLICANT|04-6221L
EMIOLA VENESTIN|ADENOPUS BREVIFLORUS,MYRISTICA FRAGRANS|SAME AS APPLICANT|04-6220L
GLUCODIX TABLETS|METFORMIN 500MG|M.J BIOPHARM PVT LTD NARMAN PT MUMBAI,400021,INDIA|04-6201
PROGENE TABLETS|GINSENG EXTRACT,SOD,LINZHI & HYDROLYTIC PEARL,LYOPHILIZED ROYAL JELLY POWDER,SODIUM CARBOXYMETHYL CELLULOSE|DEZHOU SHENGDA HEALTH PRODUCTS CO LTD 30,TIE SOUTH DEZHOU CITY,SHANDONG CHINA|04-6227
REBOFLA HERBAL POWDER|ALSTONIA BOONEI,HILARIA LATIFOLIA,AGERATUM CONYZOIDES|SAME AS APPLICANT|04-6223L
SYMATRIN 480 TABLETS|SULPHAMETHOXAZOLE 400MG TRIMETHOPRIM 80MG|VARDHMAN EXPORTS A-188 TTC MIDC IND AREA KHAIRANE NAVI MUMBAI,INDIA|04-5889 (PK SZ EXTN)
THUJA 1000 POWDER|CASTOR BEAN,SMPHONIA SPP,OCCIMUM GRATISSIMUM|SAME AS APPLICANT|04-6222L
VARDSTIN TABLETS|NYSTATIN 500,000IU|VARDHMAN EXPORTS A-188 TTC MIDC IND AREA KHAIRANE NAVI MUMBAI,INDIA|04-6074 (PK SZ EXTN)
YOTSIN HERBAL POWDER|NAUCLEA DILDRECHI,SIVIE TENIA,VISCUM ALBUM|SAME AS APPLICANT|04-6224L
TWINRIX JUNIOR VACCINE|HEPATITIS A VIRUS ANTIGEN (HM 175STRAIN) R-DNA HEPATITIS B VIRUS SURFACE ANTIGEN (HBSAG)|GLAXOSMITHKLINE BIOLOGICALS S.A RUE DE L'INSTITUTE 89,B-1330 RIXENSART BELGIUM|04-1505
CHUCILLIN CAPSULES|AMPICILLIN 250MG|ZIM LAB LTD B-21/22,M.I.D.C AREA,KALMESHWAR,NAGPUR,441 501 INDIA|04-6202
IBA-BYE-BYE MIXTURE|CINCHONA LEAVES,CITRUS LEMONA|SAME AS APPLICANT|04-6218L
TRITANRIX HB|DIPHTERIA,TETANUS TOXOIDS,INACTIVATED PERTUSIS  BACTERIA  MAJOR SURFACE ANTIGEN OF THE HEPATITIS B VIRUS (HBV) ADSORBED ON ALUMINIUM SALTS|GLAXOSMITHKLINE BIOLOGICALS S.A RUE DE L'INSTITUTE 89,B-1330 RIXENSART BELGIUM|04-1503 (RENEWAL)
DOXY 200 CAPSULE|DOXYCYCLINE 200MG|GRACURE PHARM LTD E 1105 INDUSTRIAL AREA PHASE 111 BHIWADI RAJ INDIA|04-1490 (RENEWAL)
BANNER GARLIC CAPSULES|GARLIC OIL 0.25%W/W, EDIBLE REFINED OIL|GELTEC PRIVATE  LTD 24,26/3,27/2,YADAVANAHALLI VILLAGE, BANGALORE(FORMERLY BANNER PHARMA CAPS)|04-6226L
RIFACAP 300 CAPSULES|RIFAMPICIN 300MG|HOVID SDN BHD 121,JALAN KUALA KANGSAR 30010 IPOH,MALAYSIA|04-1402
ARCHITAMOL SYRUP|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-5621
ARCHITAMOL TABLETS|PARACETAMOL 500MG|SAME AS APPLICANT|04-5269
ARCHY METRONIDAZOLE TABLETS|METRONIDAZOLE 400MG|SAME AS APPLICANT|04-5624
ASCOBITONE SYRUP|ASCORBIC ACID 100MG/5ML|SAME  AS APPLICANT|04-5623
ASOBITONE VIT C CHEWABLE TABLETS|ASCORBIC ACID 100MG|SAME AS APPLICANT|04-5270
CYPRIGOLD SYRUP|CYPROHEPTADINE HCL 2MG/5ML|SAME AS APPLICANT|04-1627
MATTEWDOL SYRUP|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-1758
METTHEWQUINE SYRUP|CHLOROQUINE PHOSPHATE 80MG/5ML|SAME AS APPLICANT|04-1679
NIDAFED TABLETS|PSEUDOEPHEDRINE 60MG,TRIPOLIDINE 2.5MG|EVANS MEDICAL PLC KM 32,LAGOS-BADAGRY EXP.AGBARA IND.EST.,AGBARA,OGUN STATE|04-6204
ASAD CHILDREN'S COUGH SYRUP|DIPHENHYDRAMINE HCL 7MG, SODIUM CITRATE 2.85MG, MENTHOL 0.55MG/5ML|ASAD GENERIC LAB LTD PLOT 50,INDEPEDENCE RD,KAWAJI,KANO|04-6205
EVAMAL TABLETS|SULPHADOXINE 500MG
PYRIMETHAMINE 25MG|SAME AS APPLICANT|04-6203
NICA PARACETAMOL SYRUP|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-6207
VITAMIN C CHEWABLE TABLETS (OTC)|ASCORBIC ACID 1000MG|SAME AS APPLICANT|04-6206
ULTIFEN-400 TABLETS|IBUPROFEN 400MG|GLOW LIFESCIENCES PVT LIMITED. 26/27/28, SHANGVILLA IND. COMPLEX CHINCHPADA GOKHIWARE, VASAI, DIST THANE, INDIA.    OLD SITE (AUROCHEM PHARM (I) PVT LTD 58, PTICEL PALGHAR, INDIA.)|04-5941
ACTION 40|DIMETHOATE 40%|BHARAT INSECTICIDE LTD C-3 AND 41423 MIF BAHADURH DIST. HARYANA,INDIA|04-6213
BEST CYPERMETHRIN|CYPERMETHRIN 10%|MEGHMANI ORGANICS LTD BLOCK NO 402,403,404,452,POST CHHARODI TA,SANAD DIST,AHMEDABAD 382 170 INDIA|04-6214
DOOM INSECTICIDE|DICHLORVOS 100%|UNITED PHOSPHORUS LTD UNIPHOS HOUSE,MUMBAI INDIA|04-6217
ENDOCEL|ENDOSULFAN 35%|EXCEL INDUSTRIES LTD 6/2,RUVAPARY RD BHAVNAGAR 364005 INDIA|04-6211
HERBEX-D SL|2,4-D AMINE 720G/L|HOCKEY INT'L LTD HOCKLEY HOUSE PACKLANE POYNTON STOCKPORT SK 12 IRL U.K|04-6215
PERFEKTHION|DIMETHOATE 400G/I|BASF AKTIENGESELLS CHAFT 67056 LUDWIGSHAFEN GERMANY|04-6210
RAMECTIN INJ.|IVERMECTIN 10MG,RAFOXANIDE 125MG|ARAB VETERINARY INDUSTRIAL COMPANY (AVICO),AMMAN 11115 JORDAN|04-6208
TERMINATOR|DIMETHOATE 25%,CYPERMETHRIN|UNITED PHOSPHORUS LTD UNIPHOS HOUSE,MUMBAI INDIA|04-6214
TRICEL|CHLORPYRIPHOS 48%|EXCEL INDUSTRIES LTD 6/2,RUVAPARY RD BHAVNAGAR 364005 INDIA|04-6212
ABAVIR TABLETS (POM)|ABACAVIR 300MG|CIPLA LTD MIDC PATALGANGA MS 410220,INDIA|04-6228
ANOLOX CAPSULES (POM)|AMPICILLIN 250MG CLOXACILLIN 250MG|MAXHEAL PHARMACEUTICALS 95/6 MIDC SATPUR,NASHIK-422007,INDIA|04-6249
ASMAVARD-F TABLETS  (POM)|AMINOPHYLLINE 100MG,SALBUTAMOL 2MG|VARDHAM EXPORTS,A-188 TTC MIDC,KHAIRNE,NAVI MUMBAI 400701,INDIA|04-6246
BIOLIFE CAPSULE (OTC)|MULTIVITAMINS/MINERALS|GUJARAT LIQUID PHARMACAPS PVT LTD PLOT NO 662-666 GIDC,WAGHODIA,VADODARA 391 760|04-6279
CENOX INFUSION (POM)|CIPROFLOXACIN 200MG|MICRO LABS LTD SP-918 PHASE III INDL AREA BHIWADI 301 019 DIAT ALWAR RAJASTHAN|04-6280
CIPRO-TRO TABLET (POM)|CIPROFLOXACIN 500MG|MEDOPHARM MOHAN MANSIONS,1 THIRU VIKA RD,CHENNAI 600008|04-6272
CLERNEX CREAM (POM)|CLOTRIMAZOLE 1% W/W|UNIBOS LAB LTD PLOT 5,C-6,POONAM,DARSHAN NAGAR,ANDHERI (E) MUMBAI 400093 INDIA|04-6256
COLZA SYRUP (OTC)|PARACETAMOL 500MG CHLOPHENIRAMINE 1MG PSEUDOPHEDRINE HCL 30MG AMMONIUM CHLORIDE 87.5MG|PT BINTANG TOEDJOE JI RAWA SUMUR BARAT II K-9 JARKATA 13930 INDONESIA|04-6260
COXON-B INJECTION (POM)|VIT B COMPLEX|GREENFIELD PHARM (TAIZHOU) CO. LTD NO 38 TAIJIU RD. TAIZHOU JIANGSU PROVINCE,CHINA|04-6264
CSC CHLOROQUINE INJECTION  (POM)|CHLOROQUINE PHOSPHATE 64.5MG/ML|SHREECHEM PHARMACEUTICALS PVT LTD PLOT NO 914/915 TTC IND NAVI MUMBAI,INDIA|04-6247
ERYTHROVARD-250 TABLETS|ERYTHROMYCIN 250MG|VARDMAN EXPORTS,A-188 TTC MIDC,KHAIRNE,NAVI MUMBAI-400701,INDIA|04-6243
EVADINE TABLETS (POM)|NEVIRAPINE 200MG|CIPLA LTD,MIDC PATALGANGA MS 410220 INDIA|04-6334
FAMLAX TABLETS  (POM)|SENNA EXTRACT 15MG|PZ CUSSONS GHANA LTD 15 KWAME NKRUMAH AVE.GHANA|04-6263
FENICOL CAPSULES (POM)|CHLORAMPHENICOL 250MG|YANGZHOU NO 3 PHARM CO LTD,NO 51 GUOTAI YILLING TOWN JIANGDU CITY,JIANGDU CHINA|04-6255
FLERAZINE-5 TABLETS(SUGAR COATED)  (POM)|TRIFLUOPERAZINE 5MG|BIOMEDICINE SPRL 69 AVENUE CHARLES,WOESTE B-1090 BRUSSELS,BELGIUM|04-6254
FLUGUARD TABLETS (OTC)|PARACETAMOL 500MG CHLORPHENIRAMINE 2MG PHENYLEPHRINE 7.5MG|PT DEXA MEDICA JI LETJEND BANBANG UTUYO 138 PALEMBANG 30114-INDONESIA|04-6257
FORTIFIED PROCAINE PENICILLIN INJECTION (POM)|BENZYLPENICILLIN 100000 IU,PROCAINE PENICILLIN 300000 IU|SHANXI NORTH YANGLIN PHARM FACTORY LTD 480 MANNEIHUAN ST TAIYUAN SHANXI,CHINA|04-6253
GECOMYCIN CAPSULES (POM)|LINCOMYCIN HCL 500MG|VARDMAN EXPORTS,A-188 TTC MIDC,KHAIRNE,NAVI MUMBAI-400701,INDIA|04-6244
GLUCOPHAGE TABLETS (POM)|METFORMIN 500MG|MERCK SANTE S.G.S CENTRE DE PRODUCTION SEMOY F-450402,SEMOY FRANCE|04-6233
GLUCORED FORTE TABLETS (POM)|GLIBENCLAMIDE 5MG METFORMIN HCL 500MG|SUN PHARM IND LTD, PLOT NO 20 GOVT INDUSTRIAL ESTATE,PHASE II SILVASSA 386230|04-6270
INDOMETHACIN CAPSULES (POM)|INDOMETHACIN 25MG|SHANXI NORTH YANGLIN PHARM FACTORY LTD 480 MANNEIHUAN ST TAIYUAN SHANXI,CHINA|04-6251
KIDDYMOL TABLETS (OTC)|PARACETAMOL 125MG|ZIM LAB LTD,B-21/22 MIDC AREA,KALMESHWAR NAGPUR 441501,INDIA|04-6265
LAVUDINE TABLETS (POM)|LAMIVUDINE 300MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6333
LAVUDINE-S 30 TABLETS (POM)|STAVUDINE 30MG,LAMIVUDINE 150MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6229
LAVUDINE-S 40 TABLETS (POM)|STAVUDINE 40MG LAMIVUDINE 150MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6230
MAXABEX INJECTION (POM)|VIT B COMPLEX|MAXHEAL PHARMACEUTICALS 95/6 MIDC SATPUR,NASHIK-422007,INDIA|04-6268
MAXAPETI TABLETS|CYPROHEPTADINE 4MG|MAXHEAL LAB PVT, LTD. PLOT NO 2-7/80-85, SPECIAL ECONOMIC ZONE, SACHIN, SACHIN, SURAT, INDIA|04-6250
MELXICAP 40 CAPSULES (POM)|STAVUDINE 40MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6336
MELXICAP CAPSULES (POM)|STAVUDINE 30MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6335
MERACAF TABLETS (OTC)|PARACETAMOL 500MG CAFFEINE 25MG|GLENMARK LABORATORIES(PVT) LTD,PLT NR L82 & L83VERNA IND ESTATE,VERNA 403722 INDIA|04-6252
MUSVIR TABLETS (POM)|NELFINAVIR 250MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6231
MYCORON CREAM (POM)|CLOTRIMAZOLE 1% W/W|NAXPAR LAB PVT LTD 120 MAISAT IND ESTATE,SILVASSE-396230|04-6266
NKOYO COD LIVER OIL CAPSULES (OTC)|VIT A 750 IU VIT D 100 IU MULTIVITAMINS AND MINERALS|GELNOVA LABORATORIES (INDIA) PVT LTD C-125 125 TTC INDUSTRIAL AREA,MAHAPE,NAVI MUMBAI 4000705|04-6271
ORCHICOLDEX TABLETS (OTC)|PARACETAMOL 500MG CHLOPHENIRAMINE 2MG PSEUDOPHEDRINE HCL 30MG CAFFEINE 30MG|MANN PHARMACUTICALS  LTD,PLOT NO 1 GIDC PHASE 2 MODHERA RD,MEHSANA 384002 GUJARAT,INDIA|04-6261
PILOCARPINE EYE DROPS (POM)|PILOCARPINE 2% W/V|MARTINDALE PHARM LTD BROMPTON RD.ROMFORD RM3 8UG|04-6269
PILOCARPINE EYE DROPS (POM)|PILOCARPINE 4% W/V|MARTINDALE PHARM LTD BROMPTON RD. ROMFORD RM3 8UG|04-6278
PIRODAC 20 CAPSULES (POM)|PIROXICAM 20MG|GOPALDAS VISRAM AND CO PLOT NR A/590-591,TTC IND AREA MIDC MAHAPE NAVI MUMBAI 400701 INDIA|04-6248
PIROMAX CAPSULES (POM)|PIROXICAM 20MG|MAXHEAL PHARMACEUTICALS 95/6 MIDC SATPUR,NASHIK-422007|04-6277
PROCAM-20 CAPSULES (POM)|PIROXICAM 20MG|SYNCOM FORMULATIONS (INDIA) LTD,256/257 SECTOR PITHAMPUR DIST DHAR (M.P)|04-6275
ROPHEX INJECTION (POM)|CEFTRIAXONE 1GM|ALPHA LABORATORIES LTD 33/2.,A.B ROAD,PIDGAMBER-453446 INDORE(MP) INDIA|04-6259
SULBUMOL INHALER AEROSOL|SALBUTAMOL 100MG|CIPLA LTD MIDC PATALGANGA MS 410220 INDIA|04-6337
VARDCLOGEL (POM)|DICLOFENAC 1.16% W/W|VARDHAM EXPORTS,A-188 TTC MIDC,KHAIRNE,NAVI MUMBAI 400701,INDIA|04-6245
ZIMOL EXTRA TABLETS (OTC)|PARACETAMOL 500MG CAFFEINE 30MG|NAXPAR LAB PVT LTD 120 MAISAT IND ESTATE,SILVASSE 396230 INDIA|04-6262
GLUCOPHAGE CAPLETS (POM)|METFORMIN 1000MG|MERCK SANTE S.G.S CENTRE DE PRODUCTION SEMOY F-450402,SEMOY FRANCE|04-6234
VARNAGIN TABLETS (POM)|ANALGIN 500MG|VARDMAN EXPORTS,GHOTKOPAR (W) MUMBAI-400186,INDIA|04-6242
FORMINAL 500 TABLETS (POM)|METFORMIN HCL 500MG|ALEMBIC LTD PAMLAR 389350 DISTRICT PAMCLIMEHALA,GUJARAT|04-6282
CHICYCLINE CAPSULES (POM)|TETRACYCLINE HCL 250MG|SHIJIAZHUANG NO 2 PHARM FACTORY,NO 188 GONGNONG RD,SHIJIAZHAUNG CITY,CHINA|04-6239
SANTECXIN SUSPENSION (POM)|DIHYDROARTEMISININ 160MG|ZHONGNUO PHARM (SHIJIAZHUANG) CO LTD 6 HUAXING RD.ZHONGHUA SOUTH ST. CHINA|04-6258
LAVUDINE TABLETS (POM)|LAMIVUDINE 150MG|CIPLA LTD MIDC PATALGANGA MS 410220,INDIA|04-6232
CIBID-250 TABLETS (POM)|CIPROFLOXACIN 250MG|PLETHICO PHARM LTD A.B RD MANGLIA-453771|04-6274
CIBID-500 TABLET(POM)|CIPROFLOXACIN 500MG|PLETHICO PHARM LTD A.B RD MANGLIA 453771|04-6273
MERONEM INJECTION (POM)|MEROPENEM 1GM|SOMITOMO PHARMACEUTICALS CO. LTD OSAKA,JAPAN|04-6241
MERONEM INJECTION (POM)|MEROPENEM 500MG|SOMITOMO PHARMACEUTICALS CO LTD OSAKA,JAPAN|04-6240
AMONEX CAPSULES (POM)|AMOXICILLIN 250MG|CHINA NATIONAL MEDICINE GOWUI PHARM CO LTD GUOGING WEST RD,HUAINAN CITY,ANHUI|04-6323
AMPICLOX INJECTION (POM) (RENEWAL)|AMPICILLIN 250MG CLOXACILIN 250MG|MEDREICH STERILAB LTD|04-1206
ASIA OMEPRAL CAPSULES (POM)|OMEPRAZOLE 20MG|ASIA PHATM INUSTRIES ALEPO SYRIA|04-6325
BECOMVIT TABLETS (OTC)|VITAMIN B COMPLEX|INTERMED PHARM 4 GK INDUSTRIAL ESTATE,ARCOT RD,PORUR,CHENNAI-600116|04-6290
BEECOX TABLETS (OTC)|VITAMIN B-COMPLEX|FYTOKEM FORMULATIONS LTD,1 174B ENIKEPADA VIJAYWADA 521108|04-6309
BONATONE CAPSULES (OTC)|MULTIVITAMINS AND MINERALS|GELNOVA LABORATORIES (I) PVT LTD,C-125,TTC IND AREA,MAHAPE NAVI MUMBAI-400705|04-6304
BOOSFEN CAPLETS (POM)|IBUPROFEN 400MG|MAXHEAL PHARMACEUTICALS (INDIA),103 TULSI NIWAS,JOGESHWARI (WEST) MUMBAI|04-6299
CERUMOL EAR DROPS (POM)|PARADICHLORBENZENE 2GM|LABORATORIES FOR APPLIED BIOLOGY LTD, AMHURST PARK LONDON N165DR,UK|04-6295
CILOXAN EYE DROP (POM)|CIPROFLOXACIN 0.3%|ALCON CONVIEUR B-2870 PUURS|04-6343
CIPRONOL TABLETS (POM)|CIPROFLOXACIN 500MG|SWETA PHARMA PVT LTD 221 GIDC VAPI 396195 GUJARAT|04-6340
CIPROTAB IV INFUSION (POM) (RENEWAL)|CIPROFLOXACIN 200MG|V.S INTERNATIONAL PVT LTD REGD OFF 237 SANDAR GRILIA 198 L.T MARG MUMBAI 400002|04-1637
CIPXIN 500 CAPLETS (POM)|CIPROFLOXACIN 500MG|ZIM LABORATORIES LTD,B-21/22 M.I.D.C AREA,KALMESWAR,NAGPAR 441501|04-6293
COTIBEL-960 TABLETS (POM)|CO-TRIMOXAZOLE 960MG|SHREECHEM PHARMACEUTICALS PVT LTD,PLOT NO 914/915 TTC IND NAVI-MUMBAI|04-6317
CSC IBUPROFEN TABLETS (POM)|IBUPROFEN 400MG|SHREECHEM PHARMACEUTICALS PVT LTD,PLOT NO 914/915 TTC IND NAVI MUMBAI|04-6432
CSC MULTIVITAMINS & MINERALS TABLETS (OTC)|MULTIVITAMINS AND MINERALS|SHREECHEM PHARMACEUTICALS PVT LTD,PLOT NO 914/915 TTC IND NAVI-MUMBAI|04-6310
CSC VITAMIN B-COMPLEX INJECTION (POM)|VITAMIN B-COMPLEX|SHREECHEM PHARMACEUTICALS PVT LTD,PLOT NO 914/915 TTC IND NAVI-MUMBAI|04-6308
CUSQUINE INJECTION  (POM)|CHLOROQUINE PHOSPHATE 322.5MG/ML|GREENFIELD PHARM CO LTD NO 38,TAI JIU RD,TAIZHOU,JIANG SU PROVINCE,P.R|04-6320
CYCLODRONE INJECTION (POM)|PROGESTERONE 25MG|NINGBO NO 2 PHARM FACTORY 64,YONGGUI RD,NINGBO|04-6356
CYPRI GOLD CAPLETS (POM)   (RENEWAL)|CYPROHEPTADINE 4MG|FOURRTS (INDIA) LABORATORIES PVT LTD VANDALAR RD. KELAMBAKKAM|04-1815
DECQUIN INJECTION (POM)|CHLOROQUINE PHOSPHATE 64.5MG/ML|ZIM LABORATORIES LTD B-21/22,MIDC AREA,KALMESHWAR,NAGPUR-441 501|04-6348
